record_timestamp,devtmpfs,sda1,cs_root,tmpfs_root,usr,nice,sys,iowait,irq,soft,steal,guest,gnice,idle,mem_total,mem_used,mem_free,mem_shared,mem_buffcached,mem_available,swap_total,swap_used,swap_free
2024-02-29 16:13:44.814+02,0,318732,5253884,5253884,12.16,0,6.82,0.81,0,2.41,0,0,0,77.8,3747016,2116132,222356,8728,1640752,1637068,1048572,0,1048572
2024-02-29 16:13:49.875+02,0,318732,5253784,5253776,12.15,0,6.87,0.81,0,2.42,0,0,0,77.76,3747016,2117792,238672,8728,1640840,1632476,1048572,0,1048572
2024-02-29 16:13:54.878+02,0,318732,5254092,5253808,12.16,0,6.91,0.8,0,2.43,0,0,0,77.71,3747016,2097152,237024,8728,1640880,1652264,1048572,0,1048572
2024-02-29 16:13:59.981+02,0,318732,5254168,5254168,12.11,0,6.94,0.79,0,2.43,0,0,0,77.72,3747016,2109364,228720,8728,1640932,1637024,1048572,0,1048572
2024-02-29 16:14:06.005+02,0,318732,5253748,5254312,12.08,0,6.99,0.79,0,2.44,0,0,0,77.7,3747016,2112892,216812,8728,1640904,1635700,1048572,0,1048572
2024-02-29 16:14:10.989+02,0,318732,5253660,5253656,12.07,0,7.03,0.78,0,2.45,0,0,0,77.68,3747016,2095460,232332,8728,1640456,1637192,1048572,0,1048572
2024-02-29 16:14:16.029+02,0,318732,5253696,5253688,12.03,0,7.06,0.77,0,2.45,0,0,0,77.69,3747016,2089428,236196,8728,1640512,1644148,1048572,0,1048572
2024-02-29 16:14:21.059+02,0,318732,5254368,5254368,12,0,7.09,0.77,0,2.45,0,0,0,77.68,3747016,2113504,222576,8728,1640756,1633624,1048572,0,1048572
2024-02-29 16:14:26.119+02,0,318732,5254328,5254328,12,0,7.11,0.76,0,2.46,0,0,0,77.67,3747016,2097460,232800,8728,1640676,1636152,1048572,0,1048572
2024-02-29 16:14:31.115+02,0,318732,5254184,5254176,11.97,0,7.15,0.76,0,2.46,0,0,0,77.68,3747016,2099112,237368,8728,1640700,1629212,1048572,0,1048572
2024-02-29 16:14:36.128+02,0,318732,5254264,5254304,11.93,0,7.19,0.75,0,2.46,0,0,0,77.65,3747016,2098040,241464,8728,1640972,1651376,1048572,0,1048572
2024-02-29 16:14:41.187+02,0,318732,5254408,5254408,11.91,0,7.22,0.75,0,2.47,0,0,0,77.66,3747016,2114016,226624,8728,1640876,1635096,1048572,0,1048572
2024-02-29 16:14:46.23+02,0,318732,5254408,5254408,11.87,0,7.25,0.74,0,2.47,0,0,0,77.67,3747016,2105688,234020,8728,1641172,1624028,1048572,0,1048572
2024-02-29 16:14:52.304+02,0,318732,5254564,5254556,11.84,0,7.29,0.74,0,2.48,0,0,0,77.66,3747016,2099456,238260,8728,1641060,1648400,1048572,0,1048572
2024-02-29 16:14:57.307+02,0,318732,5254592,5254588,11.82,0,7.34,0.73,0,2.49,0,0,0,77.6,3747016,2104952,234128,8728,1641104,1642608,1048572,0,1048572
2024-02-29 16:15:02.32+02,0,318732,5254736,5254736,11.8,0,7.37,0.73,0,2.49,0,0,0,77.61,3747016,2100628,237284,8728,1641272,1645652,1048572,0,1048572
2024-02-29 16:15:07.341+02,0,318732,5255840,5255840,11.77,0,7.42,0.72,0,2.5,0,0,0,77.56,3747016,2106776,229980,8728,1641316,1640132,1048572,0,1048572
2024-02-29 16:15:12.407+02,0,318732,5255016,5255008,11.77,0,7.45,0.72,0,2.5,0,0,0,77.56,3747016,2103408,235340,8728,1641372,1642508,1048572,0,1048572
2024-02-29 16:15:17.424+02,0,318732,5255048,5255040,11.73,0,7.47,0.71,0,2.5,0,0,0,77.58,3747016,2112552,222720,8728,1641536,1632876,1048572,0,1048572
2024-02-29 16:15:22.445+02,0,318732,5255124,5255124,11.69,0,7.5,0.71,0,2.51,0,0,0,77.59,3747016,2106912,226748,8728,1641440,1637672,1048572,0,1048572
2024-02-29 16:15:27.452+02,0,318732,5255104,5255104,11.66,0,7.53,0.7,0,2.52,0,0,0,77.57,3747016,2108800,224540,8728,1641576,1635240,1048572,0,1048572
2024-02-29 16:15:32.473+02,0,318732,5255052,5255044,11.64,0,7.56,0.7,0,2.52,0,0,0,77.6,3747016,2111800,225304,8728,1641532,1633460,1048572,0,1048572
2024-02-29 16:15:37.493+02,0,318732,5255728,5255832,11.6,0,7.59,0.7,0,2.53,0,0,0,77.55,3747016,2106508,229716,8728,1641680,1638448,1048572,0,1048572
2024-02-29 16:15:42.51+02,0,318732,5255804,5255804,11.62,0,7.61,0.69,0,2.52,0,0,0,77.56,3747016,2109652,238108,8728,1642204,1653256,1048572,0,1048572
2024-02-29 16:15:48.527+02,0,318732,5255804,5255804,11.57,0,7.63,0.69,0,2.53,0,0,0,77.59,3747016,2102876,230788,8728,1642376,1642636,1048572,0,1048572
2024-02-29 16:15:53.553+02,0,318732,5255716,5255708,11.54,0,7.66,0.68,0,2.53,0,0,0,77.6,3747016,2104744,226796,8728,1642088,1641844,1048572,0,1048572
2024-02-29 16:15:59.579+02,0,318732,5255468,5255460,11.5,0,7.68,0.68,0,2.53,0,0,0,77.6,3747016,2099788,237912,8728,1642436,1648120,1048572,0,1048572
2024-02-29 16:16:04.608+02,0,318732,5255556,5255556,11.48,0,7.71,0.67,0,2.54,0,0,0,77.6,3747016,2111848,222852,8728,1642516,1635396,1048572,0,1048572
2024-02-29 16:16:08.633+02,0,318732,5255020,5255020,11.45,0,7.73,0.67,0,2.54,0,0,0,77.61,3747016,2112192,225736,8728,1642504,1634700,1048572,0,1048572
2024-02-29 16:16:14.657+02,0,318732,5254976,5254972,11.41,0,7.75,0.66,0,2.54,0,0,0,77.64,3747016,2106924,231008,8728,1642132,1639704,1048572,0,1048572
2024-02-29 16:16:19.689+02,0,318732,5254988,5254980,11.37,0,7.77,0.66,0,2.54,0,0,0,77.66,3747016,2110132,223164,8728,1642040,1634816,1048572,0,1048572
2024-02-29 16:16:24.72+02,0,318732,5255076,5255076,11.33,0,7.79,0.66,0,2.54,0,0,0,77.68,3747016,2097416,233908,8728,1642212,1648416,1048572,0,1048572
2024-02-29 16:16:29.741+02,0,318732,5255220,5255100,11.29,0,7.82,0.65,0,2.55,0,0,0,77.69,3747016,2121328,216376,8728,1642412,1625420,1048572,0,1048572
2024-02-29 16:16:34.778+02,0,318732,5255308,5255300,11.3,0,7.85,0.65,0,2.55,0,0,0,77.65,3747016,2104600,232796,8728,1642260,1642708,1048572,0,1048572
2024-02-29 16:16:39.802+02,0,318732,5257444,5257380,11.27,0,7.88,0.64,0,2.56,0,0,0,77.65,3747016,2117280,219000,8728,1642360,1629924,1048572,0,1048572
2024-02-29 16:16:44.825+02,0,318732,5257468,5257468,11.24,0,7.9,0.64,0,2.56,0,0,0,77.66,3747016,2114968,224004,8728,1642552,1632764,1048572,0,1048572
2024-02-29 16:16:50.829+02,0,318732,5257660,5257752,11.21,0,7.92,0.64,0,2.56,0,0,0,77.67,3747016,2120876,218884,8728,1642676,1627524,1048572,0,1048572
2024-02-29 16:16:55.857+02,0,318732,5257692,5257684,11.18,0,7.94,0.63,0,2.56,0,0,0,77.69,3747016,2110564,221116,8728,1642548,1635896,1048572,0,1048572
2024-02-29 16:17:00.943+02,0,318732,5257436,5257436,11.15,0,7.95,0.63,0,2.56,0,0,0,77.72,3747016,2114112,222344,8728,1642740,1630692,1048572,0,1048572
2024-02-29 16:17:05.971+02,0,318732,5257416,5257416,11.14,0,7.99,0.63,0,2.57,0,0,0,77.68,3747016,2112816,225264,8728,1642828,1634128,1048572,0,1048572
2024-02-29 16:17:10.993+02,0,318732,5257384,5257748,11.13,0,8.01,0.62,0,2.57,0,0,0,77.67,3747016,2106464,230156,8728,1642804,1638532,1048572,0,1048572
2024-02-29 16:17:16.007+02,0,318732,5257416,5257408,11.09,0,8.03,0.62,0,2.57,0,0,0,77.69,3747016,2100724,230388,8728,1642724,1645628,1048572,0,1048572
2024-02-29 16:17:21.029+02,0,318732,5257496,5257496,11.06,0,8.05,0.62,0,2.57,0,0,0,77.7,3747016,2108560,224028,8728,1643016,1636756,1048572,0,1048572
2024-02-29 16:17:26.048+02,0,318732,5257500,5257500,11.03,0,8.07,0.61,0,2.58,0,0,0,77.72,3747016,2122668,215752,8728,1642960,1625336,1048572,0,1048572
2024-02-29 16:17:31.068+02,0,318732,5257396,5257388,11,0,8.09,0.61,0,2.58,0,0,0,77.73,3747016,2109040,222888,8728,1643164,1635996,1048572,0,1048572
2024-02-29 16:17:36.294+02,0,318732,5257428,5257420,10.99,0,8.11,0.61,0,2.58,0,0,0,77.72,3747016,2117620,217276,8728,1643084,1630344,1048572,0,1048572
2024-02-29 16:17:41.333+02,0,318732,5257564,5257564,10.98,0,8.14,0.6,0,2.59,0,0,0,77.69,3747016,2114480,219500,8728,1643152,1633816,1048572,0,1048572
2024-02-29 16:17:46.356+02,0,318732,5257564,5257564,10.96,0,8.15,0.6,0,2.59,0,0,0,77.69,3747016,2105592,229140,8728,1643372,1638844,1048572,0,1048572
2024-02-29 16:17:51.513+02,0,318732,5257460,5257452,10.94,0,8.17,0.6,0,2.59,0,0,0,77.7,3747016,2112244,217464,8728,1643556,1634728,1048572,0,1048572
2024-02-29 16:17:56.401+02,0,318732,5257392,5257384,10.92,0,8.18,0.59,0,2.59,0,0,0,77.72,3747016,2107444,230652,8728,1643540,1639328,1048572,0,1048572
2024-02-29 16:18:02.108+02,0,318732,5257532,5257532,10.89,0,8.2,0.59,0,2.59,0,0,0,77.73,3747016,2114928,220504,8728,1643536,1631844,1048572,0,1048572
